2024-10-12 20:06:42,795 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.mave.lp2:LP2_Guardales_Maven:0.0.1-SNAPSHOT @ D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\EVALUACIONES\T2\DESARROLLO\LP2_GUARDALES_CL2\LP2_Guardales_Maven\pom.xml.
2024-10-12 20:06:43,412 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-12 20:06:43,413 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-12 20:06:43,414 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-12 20:06:43,414 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\EVALUACIONES\T2\DESARROLLO\LP2_GUARDALES_CL2\LP2_Guardales_Maven\src\test\resources
2024-10-12 20:06:43,414 [Worker-7] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of LP2_Guardales_Maven
2024-10-12 20:06:43,414 [Worker-7] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for LP2_Guardales_Maven
2024-10-12 20:06:43,416 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-12 20:06:53,976 [Worker-15] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2024-10-12 20:06:54,227 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.mave.lp2:LP2_Guardales_Maven:0.0.1-SNAPSHOT @ D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\EVALUACIONES\T2\DESARROLLO\LP2_GUARDALES_CL2\LP2_Guardales_Maven\pom.xml.
2024-10-12 20:06:54,829 [Worker-15] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /LP2_Guardales_Maven/src/main/java
2024-10-12 20:06:54,829 [Worker-15] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /LP2_Guardales_Maven/src/main/resources
2024-10-12 20:06:54,829 [Worker-15] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /LP2_Guardales_Maven/src/test/java
2024-10-12 20:06:55,379 [Worker-15] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for LP2_Guardales_Maven
2024-10-12 20:06:55,382 [Worker-15] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2024-10-12 20:06:56,066 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-12 20:06:56,067 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-12 20:06:56,068 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-12 20:06:56,069 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\EVALUACIONES\T2\DESARROLLO\LP2_GUARDALES_CL2\LP2_Guardales_Maven\src\test\resources
2024-10-12 20:06:56,069 [Worker-17] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of LP2_Guardales_Maven
2024-10-12 20:06:56,069 [Worker-17] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for LP2_Guardales_Maven
2024-10-12 20:06:56,071 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-12 20:07:30,136 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-12 20:07:30,137 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-12 20:07:30,138 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-12 20:07:30,138 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\EVALUACIONES\T2\DESARROLLO\LP2_GUARDALES_CL2\LP2_Guardales_Maven\src\test\resources
2024-10-12 20:07:47,510 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-12 20:07:47,512 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-12 20:07:47,512 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-12 20:07:47,512 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\EVALUACIONES\T2\DESARROLLO\LP2_GUARDALES_CL2\LP2_Guardales_Maven\src\test\resources
2024-10-12 20:08:06,361 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-12 20:08:06,363 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-12 20:08:06,365 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-12 20:08:06,366 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\EVALUACIONES\T2\DESARROLLO\LP2_GUARDALES_CL2\LP2_Guardales_Maven\src\test\resources
2024-10-12 20:08:52,981 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-12 20:08:52,981 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-12 20:08:52,982 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-12 20:08:52,982 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Users\GERARD ESTUDIOS\MIS ESTUDIOS\CARRERAS\CIBERTEC\CICLO 04\LENGUAJE PROGRAMACIÓN II\EVALUACIONES\T2\DESARROLLO\LP2_GUARDALES_CL2\LP2_Guardales_Maven\src\test\resources
2024-10-12 20:08:57,289 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-12 20:08:57,289 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-12 20:08:57,290 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
